States,LGA,LGAPCode,CCCM,EDU,ERL,FSC,HEA,NUT,PRO,SHL,WASH,Overall,Govt,INGO,NNGO,UN Agency
Adamawa,Demsa,NG002001,0,0,0,0,2,1,2,1,0,6,3,0,0,3
Adamawa,Fufore,NG002002,2,0,0,2,5,1,3,1,3,13,3,0,5,5
Adamawa,Ganye,NG002003,0,0,0,0,2,1,0,0,0,3,2,0,0,1
Adamawa,Girei,NG002005,2,1,2,2,5,1,2,0,3,14,2,4,4,4
Adamawa,Gombi,NG002004,1,1,0,1,3,1,0,0,0,7,2,1,2,2
Adamawa,Guyuk,NG002006,1,0,0,0,3,1,0,0,0,5,2,0,1,2
Adamawa,Hong,NG002007,1,0,0,0,3,1,0,0,0,5,2,0,1,2
Adamawa,Jada,NG002008,0,0,0,0,2,1,0,0,0,3,2,0,0,1
Adamawa,Lamurde,NG002009,1,0,0,1,3,1,0,2,1,7,2,1,1,3
Adamawa,Madagali,NG002010,1,1,0,7,3,4,8,0,2,23,3,4,10,6
Adamawa,Maiha,NG002011,1,1,0,0,2,1,2,0,1,7,2,0,2,3
Adamawa,Mayo-Belwa,NG002012,0,1,0,0,2,1,0,0,0,4,2,1,0,1
Adamawa,Michika,NG002013,3,2,2,9,5,7,8,1,3,28,4,7,11,6
Adamawa,Mubi North,NG002014,2,2,2,1,2,2,11,1,2,21,3,6,7,5
Adamawa,Mubi South,NG002015,2,1,0,1,4,2,7,2,1,17,3,4,6,4
Adamawa,Numan,NG002016,1,0,0,0,3,1,0,0,1,6,2,1,1,2
Adamawa,Shelleng,NG002017,0,0,0,0,2,1,0,0,0,3,1,0,2,0
Adamawa,Song,NG002018,1,0,0,0,3,1,1,0,0,6,2,0,2,2
Adamawa,Toungo,NG002019,0,0,0,0,1,1,0,0,0,2,1,0,1,0
Adamawa,Yola North,NG002020,3,1,0,0,2,1,6,0,2,12,3,3,2,4
Adamawa,Yola South,NG002021,3,1,0,0,4,1,7,1,3,16,3,4,5,4
