state,project_sector,org_acronym,status,activities,lga
Borno,SHL,AAH/ACF,Completed,10,2
Yobe,SHL,AAH/ACF,Completed,6,2
Borno,CCCM,BOAID,Completed,14,2
Borno,FSC,BSADP,Completed,3,3
Borno,FSC,CA,Completed,2,2
Borno,PRO,CAFOD,Completed,2,2
Borno,CCCM,CARE AID,Completed,4,1
Borno,FSC,CBI,Completed,2,2
Yobe,FSC,CBI,Completed,2,2
Adamawa,FSC,CCDRN,Completed,2,2
Yobe,FSC,CCDRN,Completed,5,3
Adamawa,FSC,CCFN,Completed,4,2
Borno,FSC,CCFN,Completed,6,3
Adamawa,PRO,CN,Completed,12,7
Borno,PRO,CN,Completed,4,2
Yobe,PRO,CN,Completed,14,5
Borno,PRO,COSCPD,Completed,6,6
Adamawa,PRO,CPPLI,Completed,22,4
Adamawa,PRO,CPWEI,Completed,1,1
Yobe,PRO,CPWEI,Completed,3,3
Borno,FSC,CRS,Completed,1,1
Borno,FSC,CRUDAN,Completed,4,3
Yobe,FSC,CRUDAN,Completed,5,4
Adamawa,PRO,DRC,Completed,8,2
Borno,PRO,DRC,Completed,28,7
Borno,FSC,EYN,Completed,4,4
Borno,PRO,FAMHI ,Completed,2,2
Adamawa,FSC,FAO,Completed,5,5
Borno,FSC,FAO,Completed,10,8
Yobe,FSC,FAO,Completed,9,8
Borno,PRO,FHI360,Completed,28,3
Adamawa,PRO,FSACI,Completed,2,2
Borno,PRO,GPON,Completed,22,8
Borno,CCCM,GREENCODE,Completed,18,1
Borno,SHL,GREENCODE,Completed,6,2
Yobe,PRO,GSF,Completed,4,3
Borno,EDU,HAAF,Completed,1,1
Borno,CCCM,HOPE360,Completed,10,2
Adamawa,PRO,ICRC,Completed,1,1
Borno,FSC,IMC,Completed,2,2
Adamawa,CCCM,INTERSOS,Completed,24,6
Borno,CCCM,INTERSOS,Completed,80,4
Borno,FSC,INTERSOS,Completed,3,2
Borno,SHL,INTERSOS,Completed,4,1
Yobe,CCCM,INTERSOS,Completed,4,1
Adamawa,CCCM,IOM,Completed,48,13
Adamawa,PRO,IOM,Completed,4,2
Borno,CCCM,IOM,Completed,168,14
Borno,PRO,IOM,Completed,6,2
Borno,SHL,IOM,Completed,6,2
Adamawa,PRO,IRC,Completed,2,1
Borno,PRO,IRC,Completed,24,5
Yobe,PRO,IRC,Completed,12,2
Adamawa,FSC,JDPC,Completed,4,2
Borno,FSC,JDPC,Completed,2,1
Borno,PRO,JDPC,Completed,2,2
Borno,CCCM,LOC-DIN,Completed,6,2
Borno,PRO,MAG,Completed,14,5
Borno,FSC,MC,Completed,1,1
Borno,SHL,MC,Completed,6,3
Borno,PRO,NBA,Completed,2,2
Borno,CCCM,NRC,Completed,40,2
Borno,PRO,NRC,Completed,2,1
Borno,SHL,NRC,Completed,30,4
Adamawa,PRO,NRCS,Completed,1,1
Adamawa,PRO,NRM,Completed,2,1
Borno,PRO,NRM,Completed,2,1
Borno,CCCM,PALRI,Completed,6,1
Borno,FSC,PI,Completed,2,1
Borno,CCCM,PRIDE,Completed,44,2
Borno,PRO,PRIDE,Completed,8,3
Borno,SHL,PRIDE,Completed,10,2
Borno,FSC,SC Int,Completed,2,2
Borno,FSC,SCI,Completed,8,4
Borno,PRO,SCI,Completed,2,1
Borno,CCCM,SHADE,Completed,12,1
Borno,CCCM,SHI,Completed,24,2
Borno,CCCM,SHO,Completed,24,4
Yobe,CCCM,SHO,Completed,8,2
Yobe,FSC,TCDI,Completed,1,1
Borno,PRO,TDH,Completed,8,1
Adamawa,PRO,UNHCR,Completed,12,7
Adamawa,SHL,UNHCR,Completed,2,1
Borno,SHL,UNHCR,Completed,18,4
Yobe,PRO,UNHCR,Completed,14,5
Adamawa,PRO,UNMAS,Completed,3,2
Borno,PRO,UNMAS,Completed,14,10
Yobe,PRO,UNMAS,Completed,5,4
Borno,FSC,WFP,Completed,13,8
Yobe,FSC,WFP,Completed,13,9
Borno,PRO,YAF,Completed,1,1
Borno,EDU,YEF,Completed,2,1
Borno,CCCM,YPHO,Completed,16,2
Yobe,CCCM,YPHO,Completed,16,2
Borno,FSC,YSADP,Completed,1,1
Yobe,FSC,YSADP,Completed,5,5
Borno,FSC,ZOA,Completed,1,1
Borno,ERL,AAH/ACF,Ongoing,5,4
Borno,FSC,AAH/ACF,Ongoing,10,3
Borno,HEA,AAH/ACF,Ongoing,3,3
Borno,NUT,AAH/ACF,Ongoing,26,11
Borno,WASH,AAH/ACF,Ongoing,2,2
Yobe,ERL,AAH/ACF,Ongoing,4,2
Yobe,FSC,AAH/ACF,Ongoing,6,2
Yobe,HEA,AAH/ACF,Ongoing,6,6
Yobe,NUT,AAH/ACF,Ongoing,30,10
Yobe,WASH,AAH/ACF,Ongoing,5,2
Borno,ERL,AAN,Ongoing,2,1
Yobe,NUT,AAN,Ongoing,1,1
Adamawa,NUT,ADSPHCMB,Ongoing,63,21
Adamawa,HEA,AGUF,Ongoing,16,2
Borno,HEA,AHI,Ongoing,24,4
Borno,HEA,AHNi,Ongoing,26,7
Borno,HEA,AHSF,Ongoing,16,6
Borno,NUT,AHSF,Ongoing,3,3
Adamawa,PRO,AIFCWD,Ongoing,10,3
Borno,HEA,ALIMA,Ongoing,6,1
Borno,NUT,ALIMA,Ongoing,1,1
Yobe,HEA,ALIMA,Ongoing,6,1
Yobe,NUT,ALIMA,Ongoing,3,2
Borno,ERL,AUN,Ongoing,11,3
Yobe,ERL,AUN,Ongoing,7,2
Borno,NUT,BSPHCDA,Ongoing,73,19
Yobe,NUT,BSPHCDA,Ongoing,8,4
Borno,FSC,CA,Ongoing,1,1
Borno,NUT,CA,Ongoing,7,4
Adamawa,WASH,CAID UK,Ongoing,2,1
Borno,WASH,CAID UK,Ongoing,12,8
Yobe,WASH,CAID UK,Ongoing,7,4
Borno,NUT,CARE,Ongoing,19,11
Yobe,NUT,CARE,Ongoing,1,1
Borno,ERL,CATAI,Ongoing,2,1
Adamawa,WASH,CBI,Ongoing,2,2
Borno,EDU,CBI,Ongoing,1,1
Borno,FSC,CBI,Ongoing,2,2
Borno,NUT,CBI,Ongoing,2,2
Borno,WASH,CBI,Ongoing,6,4
Yobe,HEA,CBI,Ongoing,24,2
Yobe,WASH,CBI,Ongoing,1,1
Adamawa,FSC,CCDRN,Ongoing,2,2
Yobe,FSC,CCDRN,Ongoing,3,3
Adamawa,FSC,CCFN,Ongoing,9,2
Borno,FSC,CCFN,Ongoing,4,1
Adamawa,NUT,CDHI,Ongoing,2,1
Borno,NUT,CDHI,Ongoing,3,3
Yobe,NUT,CDHI,Ongoing,3,1
Adamawa,PRO,CN,Ongoing,4,3
Yobe,PRO,CN,Ongoing,1,1
Borno,WASH,COCOSOHDI,Ongoing,1,1
Borno,PRO,COWACDI,Ongoing,4,2
Borno,FSC,CRS,Ongoing,13,4
Borno,NUT,CRS,Ongoing,12,4
Adamawa,FSC,CRUDAN,Ongoing,4,4
Borno,FSC,CRUDAN,Ongoing,5,3
Borno,WASH,CRUDAN,Ongoing,4,4
Yobe,EDU,CRUDAN,Ongoing,1,1
Yobe,FSC,CRUDAN,Ongoing,9,7
Adamawa,FSC,DRC,Ongoing,2,2
Adamawa,PRO,DRC,Ongoing,20,2
Borno,ERL,DRC,Ongoing,4,2
Borno,FSC,DRC,Ongoing,9,3
Borno,PRO,DRC,Ongoing,100,7
Borno,EDU,EMF,Ongoing,2,1
Borno,WASH,EMF,Ongoing,2,2
Borno,FSC,EYN,Ongoing,4,4
Borno,PRO,FAMHI ,Ongoing,5,2
Adamawa,FSC,FAO,Ongoing,3,2
Borno,FSC,FAO,Ongoing,4,3
Yobe,FSC,FAO,Ongoing,2,2
Borno,EDU,FF,Ongoing,4,2
Adamawa,WASH,FHI360,Ongoing,13,5
Borno,HEA,FHI360,Ongoing,32,4
Borno,NUT,FHI360,Ongoing,10,5
Borno,PRO,FHI360,Ongoing,30,3
Borno,WASH,FHI360,Ongoing,58,8
Yobe,NUT,FHI360,Ongoing,1,1
Yobe,WASH,FHI360,Ongoing,2,1
Adamawa,HEA,FNPH,Ongoing,18,17
Borno,HEA,FNPH,Ongoing,25,14
Yobe,HEA,FNPH,Ongoing,23,12
Borno,ERL,FRAD,Ongoing,2,1
Borno,WASH,FREE,Ongoing,27,7
Yobe,WASH,FREE,Ongoing,12,4
Adamawa,HEA,FSACI,Ongoing,32,4
