organisation,org_acronym,org_type,project_sector,activities,status,state,lga,ward,ishrp,response_type,isrp,month,year
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Mutai,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gujba,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Ngurbuwa,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Ngurbuwa,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gotala/Gotumba,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gotala/Gotumba,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Goniri,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Dadingel,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Buniyadi North / South,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Mar,2019
