organisation,org_acronym,org_type,project_sector,activities,status,state,lga,ward,ishrp,response_type,isrp,people_reached,month,year
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Mutai,Yes,Humanitarian,Yes,144.3333333,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gujba,Yes,Humanitarian,Yes,155.6666667,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Ngurbuwa,Yes,Humanitarian,Yes,39.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Ngurbuwa,Yes,Humanitarian,Yes,237.6666667,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gotala/Gotumba,Yes,Humanitarian,Yes,25.66666667,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gotala/Gotumba,Yes,Humanitarian,Yes,113.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Goniri,Yes,Humanitarian,Yes,344.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Dadingel,Yes,Humanitarian,Yes,180.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Buniyadi North / South,Yes,Humanitarian,Yes,241.6666667,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,Yes,284.6666667,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,Yes,205.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,Yes,74.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,Yes,39.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,Yes,154.3333333,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,Yes,483.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,Yes,349.6666667,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,Yes,266.3333333,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,Yes,510.3333333,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,Yes,82.33333333,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,Yes,52.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,Yes,101.3333333,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Mobbar,Chamba,Yes,Humanitarian,Yes,77.66666667,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Mobbar,Layi,Yes,Humanitarian,Yes,95.66666667,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,Yes,336.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,Yes,677.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,Yes,537.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,Yes,905.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,Yes,775.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,Yes,598.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,Yes,154.6666667,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,Yes,120.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,Yes,247.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,Yes,276.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,Yes,116.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,Yes,682.3333333,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,Yes,344.6666667,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,Yes,903.6666667,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,Yes,12.33333333,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,Yes,128.6666667,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,Yes,370.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,Yes,766.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,Yes,607.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,Yes,158.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Gubio Town  I,Yes,Humanitarian,Yes,65.66666667,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Gubio Town II,Yes,Humanitarian,Yes,79.33333333,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Zowo,Yes,Humanitarian,Yes,105.0,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Ngetra,Yes,Humanitarian,Yes,40.33333333,May,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,Yes,590.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,Yes,1379.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,Yes,634.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,Yes,543.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,Yes,857.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,Yes,831.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,Yes,756.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,Yes,597.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,Yes,838.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,Yes,214.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,Yes,175.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,Yes,363.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,Yes,276.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Mutai,Yes,Humanitarian,Yes,166.3333333,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gujba,Yes,Humanitarian,Yes,141.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Ngurbuwa,Yes,Humanitarian,Yes,18.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Ngurbuwa,Yes,Humanitarian,Yes,230.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gotala/Gotumba,Yes,Humanitarian,Yes,28.33333333,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gotala/Gotumba,Yes,Humanitarian,Yes,201.6666667,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Goniri,Yes,Humanitarian,Yes,305.6666667,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Dadingel,Yes,Humanitarian,Yes,259.3333333,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Buniyadi North / South,Yes,Humanitarian,Yes,399.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,Yes,143.3333333,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,Yes,120.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Mobbar,Chamba,Yes,Humanitarian,Yes,33.66666667,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Gubio Town  I,Yes,Humanitarian,Yes,51.33333333,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Gubio Town II,Yes,Humanitarian,Yes,49.66666667,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Zowo,Yes,Humanitarian,Yes,82.66666667,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Ngetra,Yes,Humanitarian,Yes,50.33333333,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,Yes,1786.666667,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,Yes,2204.333333,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,Yes,589.6666667,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,Yes,816.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,Yes,24.66666667,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,Yes,547.6666667,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,Yes,153.6666667,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,Yes,336.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,Yes,246.3333333,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,Yes,253.6666667,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,Yes,309.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Mafa,Tamsu Ngamdua,Yes,Humanitarian,Yes,479.3333333,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Mobbar,Layi,Yes,Humanitarian,Yes,37.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,Yes,40.66666667,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,Yes,91.66666667,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,Yes,76.66666667,Jun,2019
