org_acronym,organisation,org_type,operation_type,project_sector,activities,status,state,state_pcode,lga,lga_pcode,ishrp,response_type,month,year
AAH/ACF,Action Against Hunger,INGO,Implementing,SHL,Major Repair/Improvements of permanent buildings,Completed,Yobe,NGA036,Potiskum,NG036014,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,HEA,Out-Patient Services,Ongoing,Borno,NGA008,Konduga,NG008016,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,HEA,Out-Patient Services,Ongoing,Borno,NGA008,Jere,NG008013,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,HEA,Out-Patient Services,Ongoing,Yobe,NGA036,Fika,NG036004,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,HEA,Out-Patient Services,Ongoing,Yobe,NGA036,Nguru,NG036013,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,HEA,Out-Patient Services,Ongoing,Borno,NGA008,Kaga,NG008014,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,HEA,Out-Patient Services,Ongoing,Yobe,NGA036,Machina,NG036011,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,HEA,Out-Patient Services,Ongoing,Yobe,NGA036,Karasuwa,NG036010,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,HEA,Out-Patient Services,Ongoing,Yobe,NGA036,Gujba,NG036007,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,HEA,Out-Patient Services,Ongoing,Yobe,NGA036,Fune,NG036005,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Fika,NG036004,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Machina,NG036011,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Magumeri,NG008020,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Nganzai,NG008026,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Fika,NG036004,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Machina,NG036011,Yes,Humanitarian,Jan,2023
