organisation,org_acronym,org_type
Bellow Danlami,B,IM
Bello Danlamii,BB,IM
Bello Danlami,BD,IMO
Achieving Health Nigeria Initiative,AHNi,INGO
ACTED I Act for change I Invest in potential,ACTED,INGO
Acted I Act For Change I Invest In Potential,ACTED,INGO
ACTED International,ACTED,INGO
Action Against Hunger,AAH/ACF,INGO
Action Aid,AA,INGO
Action Health Incorporated,AHI,NNGO
Action Initiative for Peace and Development,AIPD,NNGO
ActionAid,ActionAid,INGO
ActionAid Nigeria,AAN,INGO
Actionaid Nigeria,AAN,NNGO
Adamawa Agriculture Development Programme,AADP,Govt
Adamawa Ministry of Women Affairs and Social Development,MWASD,Govt
Adamawa People Living with Disabilities & Vulnerable Support Initiative,APWDVSI,NNGO
Adamawa State Primary Health Care Development Agency,ASPHCDA,Govt
Adamawa State Primary Health Care Management Board,ADSPHCMB,Govt
Adventist Development And Relief Agency,ADRA,INGO
Africa Initiative for Children with Disability,AIFCWD,INGO
African Development Bank,AFDB,INGO
African Health Care Facilitation Foundation,AHCFF,NNGO
African Health implementation foundation facilitation ,AHIFF,NNGO
African Humanitarian Aid International,AHAI,NNGO
African Youth for Peace Development and Empowerment Foundation,AFRYDEF,NNGO
African Youth for Peace Development and Empowerment Foundation,AYPDEF,NNGO
Against All Odds Foundation,AAOF,NNGO
Agaji Global Unity Foundation,AGUF,NNGO
Agency for Technical Cooperation and Developmenet,ATCD,NNGO
Agricultural Development Programme,ADP,Govt
Aid Initiative to support vulnerable and idle people,AISVIP,NNGO
Albarka Health spring Foundation,AHSF,NNGO
Albarka Health Spring Foundation,AHSF,NNGO
Allamin Foundation for Peace and Development,AFPD,NNGO
Allamin Foundation For Peace And Development,AFPD,NNGO
"Ambassadors of Dialogue, Climate and Reintegration",DCR,NNGO
"Ambassadors Of Dialogue, Climate And Reintegration",DCR,NNGO
American University of Nigeria,AUN,NNGO
American University Of Nigeria,AUN,NNGO
Association of Civil Society Organizations on Malaria Immunization and Nutrition,ACOMIN,NNGO
Assured Better Life Initiative,ABLI,NNGO
Boaid Humanitarian Foundation,BHF,NNGO
BOAID Humanitarian Foundation,BHF,NNGO
Borno State Agriculture Development Programme,BSADP,Govt
Borno State Aid Humanitarian Foundation,BOAID,NNGO
Borno State Hospital Management Board,BSHMB,Govt
Borno State Primary Health Care Development Agency,BSPHCDA,Govt
Borno Women Development Initiative,BOWDI,NNGO
British Council,BC,INGO
Care Aid Support Initiative,CARE AID,NNGO
Care Best Initiative,CBI,NNGO
Care Best International,CBI,INGO
CARE International,CARE,INGO
Care International,CARE,INGO
Caritas Consortium,Caritas C,NNGO
Caritas Germany,CG,INGO
Caritas Internationalis,CARISTAS,INGO
Caritas Nigeria,CARITAS,INGO
Caritas Nigeria,Caritas,INGO
Caritas Nigeria,CN,NNGO
Catholic Agency For Overseas Development,CAFOD,INGO
Catholic Agency for Overseas Development,CAFOD,INGO
Catholic Caritas Foundation of Nigeria,CCFN,NNGO
Catholic Caritas Foundation Of Nigeria,CCFN,NNGO
Catholic Caritas Foundation of Nigeria (CCFN),CCFN,NNGO
Catholic Relief Services,CRS,INGO
Catholic Relief Services,crs,INGO
CBM International,CBM,INGO
"Center For Advocacy, Transparency And Accountability Initiative",CATAI,NNGO
"Center for Advocacy, Transparency and Accountability Initiative",CATAI,NNGO
Center for Change and Economic Development,CCED,NNGO
Center for Change and Economic Development,CCEd,NNGO
Center for Community Health Development,CCHD,NNGO
Center for Community Health Development,CHAD,NNGO
Center For Community Health Development,CCHD,NNGO
"Centre for Caring, Empowering & Peace Initiative",CCEPI,NNGO
