state,admin1pcode,lga,admin2pcode
Adamawa,NG002,Demsa,NG002001
Adamawa,NG002,Fufore,NG002002
Adamawa,NG002,Ganye,NG002003
Adamawa,NG002,Girei,NG002005
Adamawa,NG002,Gombi,NG002004
Adamawa,NG002,Guyuk,NG002006
Adamawa,NG002,Hong,NG002007
Adamawa,NG002,Jada,NG002008
Adamawa,NG002,Lamurde,NG002009
Adamawa,NG002,Madagali,NG002010
Adamawa,NG002,Maiha,NG002011
Adamawa,NG002,Mayo-Belwa,NG002012
Adamawa,NG002,Michika,NG002013
Adamawa,NG002,Mubi North,NG002014
Adamawa,NG002,Mubi South,NG002015
Adamawa,NG002,Numan,NG002016
Adamawa,NG002,Shelleng,NG002017
Adamawa,NG002,Song,NG002018
Adamawa,NG002,Toungo,NG002019
Adamawa,NG002,Yola North,NG002020
Adamawa,NG002,Yola South,NG002021
Borno,NG008,Abadam,NG008001
Borno,NG008,Askira/Uba,NG008002
Borno,NG008,Bama,NG008003
Borno,NG008,Bayo,NG008004
Borno,NG008,Biu,NG008005
Borno,NG008,Chibok,NG008006
Borno,NG008,Damboa,NG008007
Borno,NG008,Dikwa,NG008008
Borno,NG008,Gubio,NG008009
Borno,NG008,Guzamala,NG008010
Borno,NG008,Gwoza,NG008011
Borno,NG008,Hawul,NG008012
Borno,NG008,Jere,NG008013
Borno,NG008,Kaga,NG008014
Borno,NG008,Kala/Balge,NG008015
Borno,NG008,Konduga,NG008016
Borno,NG008,Kukawa,NG008017
Borno,NG008,Kwaya Kusar,NG008018
Borno,NG008,Mafa,NG008019
Borno,NG008,Magumeri,NG008020
Borno,NG008,Maiduguri,NG008021
Borno,NG008,Marte,NG008022
Borno,NG008,Mobbar,NG008023
Borno,NG008,Monguno,NG008024
Borno,NG008,Ngala,NG008025
Borno,NG008,Nganzai,NG008026
Borno,NG008,Shani,NG008027
Yobe,NG036,Bade,NG036001
Yobe,NG036,Bursari,NG036002
Yobe,NG036,Damaturu,NG036003
Yobe,NG036,Fika,NG036004
Yobe,NG036,Fune,NG036005
Yobe,NG036,Geidam,NG036006
Yobe,NG036,Gujba,NG036007
Yobe,NG036,Gulani,NG036008
Yobe,NG036,Jakusko,NG036009
Yobe,NG036,Karasuwa,NG036010
Yobe,NG036,Machina,NG036011
Yobe,NG036,Nangere,NG036012
Yobe,NG036,Nguru,NG036013
Yobe,NG036,Potiskum,NG036014
Yobe,NG036,Tarmua,NG036015
Yobe,NG036,Yunusari,NG036016
Yobe,NG036,Yusufari,NG036017
