organisation,org_acronym,org_type
Bello Danlami,BD,IMO
Achieving Health Nigeria Initiative,AHNi,NNGO
ACTED International,ACTED,INGO
Action Against Hunger,AAH/ACF,INGO
Action Health Incorporated,AHI,NNGO
Action Initiative for Peace and Development,AIPD,NNGO
ActionAid International,ActionAid,INGO
Actionaid Nigeria,AAN,NNGO
Adamawa Agriculture Development Programme,AADP,Govt
Adamawa Ministry of Women Affairs and Social Development,MWASD,Govt
Adamawa People Living with Disabilities and Vulnerable Support Initiative,APWDVSI,NNGO
Adamawa State Primary Health Care Development Agency,ASPHCDA,Govt
Adamawa State Primary Health Care Management Board,ADSPHCMB,Govt
Adventist Development and Relief Agency,ADRA,INGO
Africa Initiative for Children with Disability,AIFCWD,NNGO
African Development Bank,AFDB,INGO
African Health Care Facilitation Foundation,AHCFF,NNGO
African Health implementation foundation facilitation,AHIFF,NNGO
African Humanitarian Aid International,AHAI,NNGO
African Youth for Peace Development and Empowerment Foundation,AFRYDEV,NNGO
Against All Odds Foundation,AAOF,NNGO
Agaji Global Unity Foundation,AGUF,NNGO
Agency for Technical Cooperation and Developmenet,ATCD,NNGO
Agricultural Development Programme,ADP,Govt
Aid Initiative to support vulnerable and idle people,AISVIP,NNGO
Albarka Health Spring Foundation,AHSF,NNGO
Allamin Foundation for Peace and Development,AFPD,NNGO
"Ambassadors Of Dialogue, Climate and Reintegration",DCR,NNGO
American University Of Nigeria,AUN,NNGO
Association of Civil Society Organisations on Malaria Immunization and Nutrition,ACOMIN,NNGO
Assured Better Life Initiative,ABLI,NNGO
Boaid Humanitarian Foundation,BHF,NNGO
Borno State Agriculture Development Programme,BSADP,Govt
Borno State Aid Humanitarian Foundation,BOAID,NNGO
Borno State Hospital Management Board,BSHMB,Govt
Borno State Primary Health Care Development Agency,BSPHCDA,Govt
Borno Women Development Initiative,BOWDI,NNGO
British Council,BC,INGO
Care Aid Support Initiative,CARE AID,NNGO
Care Best Initiative,CBI,NNGO
Care Best International,CBII ,INGO
Care International,CARE,INGO
Caritas Consortium,Caritas C,NNGO
Caritas Germany,CG,INGO
Caritas Internationalis,CARISTAS,INGO
Caritas Nigeria,CN,NNGO
Catholic Agency for Overseas Development,CAFOD,INGO
Catholic Caritas Foundation of Nigeria,CCFN,NNGO
Catholic Relief Services,CRS,INGO
Christian Blind Mission International,CBM,INGO
